sku,name,brand,category,price,url,in_stock,quantity_on_hand,inventory_value,description,upc
LD-R3AK5B,"Label, Paper, 4x4in (101.6x101.6mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 160/roll, 36/box, Plain. Black mark sensing . | LD-R3AK5B",Zebra Technologies,1444,310.3,https://www.arrowheadphx.com/ld-r3ak5b-zebra-z-perform-1000d-4x4-paper-label-36-case/,True,67,20790.100000000002,"Label, Paper, 4x4in (101.6x101.6mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 160/roll, 36/box, Plain. Black mark sensing .",
05319GS11007,"Wax Ribbon, 110mmx74m (4.33inx242ft), 5319; Performance, 12mm (0.5in) core, 12/box | 05319GS11007",Zebra Technologies,1446,64.41,https://www.arrowheadphx.com/05319gs11007-zebra-ribbon/,True,309,19902.69,"Wax Ribbon, 110mmx74m (4.33inx242ft), 5319; Performance, 12mm (0.5in) core, 12/box",
800077-749,Zebra ix Series color ribbon for ZXP Series 7 YMCKOK (750 prints) | 800077-749,Zebra Technologies,1440,173.5,https://www.arrowheadphx.com/800077-749-zxp7-ix-series-ymckok-color-ribbon-750images-roll/,True,112,19432.0,Zebra ix Series color ribbon for ZXP Series 7 YMCKOK (750 prints),
10000295,"Label, Paper, 3x2in (76.2x50.8mm); DT, Z-Perform 2000D, Value Coated, All-Temp Adhesive, 3in (76.2mm) core, 2750/roll, 6/box, Plain | 10000295",Zebra Technologies,1465,169.49,https://www.arrowheadphx.com/10000295-zebra-z-perform-2000d-3x2-paper-label-6-case/,True,114,19321.86,"Label, Paper, 3x2in (76.2x50.8mm); DT, Z-Perform 2000D, Value Coated, All-Temp Adhesive, 3in (76.2mm) core, 2750/roll, 6/box, Plain",
800012-445,"Ribbon, Zebra i Series, 4 panel Color-YMCK, 625 Images, Retransfer | 800012-445",Zebra Technologies,1440,151.0,https://www.arrowheadphx.com/ribbon-zebra-i-series-4-panel-color-ymck-625-images-retransfer-800012-445/,True,122,18422.0,"Ribbon, Zebra i Series, 4 panel Color-YMCK, 625 Images, Retransfer",
10017573,"Label, Paper, 2x1.25in (50.8x31.8mm); DT, 8000D Lab, Coated, Permanent Adhesive, 0.75in (19.1mm) core, 330/roll, 12/box, Plain. Black mark sensing. Mobile specimen collection label for Cerner, McKesson, Siemens.. | 10017573",Zebra Technologies,1918,107.06,https://www.arrowheadphx.com/health-care-media-for-mobile-specimen-collection-use-cerner-mckesson-siemens-8000d-lab-2-x-1-25-10017573/,True,168,17986.08,"Label, Paper, 2x1.25in (50.8x31.8mm); DT, 8000D Lab, Coated, Permanent Adhesive, 0.75in (19.1mm) core, 330/roll, 12/box, Plain. Black mark sensing.  Mobile specimen collection label for Cerner, McKesson, Siemens..",
10034219,"Label, Synthetic, 0.9375x0.9375in (23.8x23.8mm); TT, 8000T Slide, High Performance Coated, Permanent Adhesive, 1in (25.4mm) core, 2512/roll, 4/box, Plain | 10034219",Zebra Technologies,2274,448.37,https://www.arrowheadphx.com/10034219-label-polyester-0-9375x0-9375in-thermal-transfer-8000t-slide-1in-core-4-rolls-carton/,True,39,17486.43,"Label, Synthetic, 0.9375x0.9375in (23.8x23.8mm); TT, 8000T Slide, High Performance Coated, Permanent Adhesive, 1in (25.4mm) core, 2512/roll, 4/box, Plain",
800033-340,"Zebra ix Series High Capacity color ribbon for ZXP Series 3 YMCKO, 280 images | 800033-340",Zebra Technologies,1440,50.0,https://www.arrowheadphx.com/zebra-ix-series-high-capacity-color-ribbon-for-zxp-series-3-ymcko-280-images-800033-340/,True,348,17400.0,"Zebra ix Series High Capacity color ribbon for ZXP Series 3 YMCKO, 280 images| 800033-340",
10015341,"Label, Paper, 2.25x1.25in (57.2x31.8mm); DT, Z-Select 4000D, High Performance Coated, All-Temp Adhesive, 1in (25.4mm) core, 2100/roll, 12/box, Plain | 10015341",Zebra Technologies,1463,170.12,https://www.arrowheadphx.com/10015341-zebra-z-select-4000d-2-25x1-25-paper-label-12-case/,True,102,17352.24,"Label, Paper, 2.25x1.25in (57.2x31.8mm); DT, Z-Select 4000D, High Performance Coated, All-Temp Adhesive, 1in (25.4mm) core, 2100/roll, 12/box, Plain",
P1112640-241,"Kit, Printhead 300 dpi, ZD621T | P1112640-241",Zebra Technologies,1531;1729,320.09,https://www.arrowheadphx.com/kit-printhead-300-dpi-zd621t-p1112640-241/,True,54,17284.859999999997,"Kit, Printhead 300 dpi, ZD621T",
